Rank,Company,Revenue ($B),F.Y.,Employees,Market cap. ($B),Headquarters,Founded,Industry
72,Instacart,2.0,2017,5755.0,,San Francisco,2012,Hyperlocal Delivery
73,Shutterfly,2.0,2018,7500.0,,"Redwood City, California",1998,Photography
74,BMC Software,2.0,2019,6000.0,,"Houston, Texas",1980,software as service
75,Zynga,1.97,2020,2245.0,11.53,San Francisco,1998,Video Games
76,Dropbox,1.91,2020,2760.0,10.47,San Francisco,2007,Cloud Storage
77,B2W,1.86,2020,,6.9,Rio de Janeiro,2006,Ecommerce
78,Grubhub,1.82,2020,2841.0,6.62,Chicago,2001,Online Food Ordering
79,Twilio,1.76,2020,4629.0,63.71,San Francisco,2008,Telecommunication
80,Stitch Fix,1.71,2020,8000.0,4.66,San Francisco,2009,Personalized Services
81,Etsy,1.7,2020,1414.0,25.3,New York,2002,E commerce
82,Pinterest,1.69,2020,2545.0,45.73,San Francisco,2009,Social Media
83,Farfetch,1.67,2020,5441.0,16.96,London,2007,Ecommerce
84,J2 Global,1.49,2020,,5.43,"Los Angeles,",1995,Internet
85,ANGI Homeservices Inc.,1.47,2020,5100.0,7.92,Denver,1995,Internet
86,DocuSign,1.45,2021,5630.0,41.13,San Francisco,2003,Software
87,Groupon,1.42,2020,4159.0,1.3,Chicago,2005,Ecommerce
88,Ozon,1.39,2020,14834.0,7.1,Moscow,1998,Ecommerce
89,Vroom.com,1.36,2020,944.0,5.89,New York City,2003,Ecommerce
90,Mail.Ru,1.33,2020,,5.17,Moscow,1998,Internet
91,Sabre Corporation,1.33,2020,7531.0,4.88,Southlake,1994,Travel
92,"Kaplan, Inc.",1.31,2020,5500.0,,"Fort Lauderdale, Florida",1938,Education
93,Endurance International Group,1.3,2019,2500.0,4.0,"Burlington, Massachusetts",1998,Internet
94,Exela Technologies,1.29,2020,22000.0,1.2,"Irving,Texas",2017,Automation
95,Verisign,1.27,2020,909.0,23.94,Reston,1995,Internet
96,Flexport,1.27,2020,2000.0,,San Francisco,2013,Software freight forwarding
97,LogMeIn,1.26,2019,3974.0,4.21,Boston,2003,Software
98,Craigslist,1.0,2018,1000.0,,San Francisco,1995,Classifieds
99,Grab,1.0,2018,6000.0,,Singapore,2012,Transportation
100,Ultimate Software,1.0,2018,5000.0,,"Weston, Florida",1993,Software
